word,zipf,in_top50k,levels_used
cooler,3.96,1,132 134
cooling,4.06,1,79
coop,3.41,1,107 136
cooperation,4.3,1,154
copenhagen,3.67,1,31
coppa,2.35,0,183
copper,4.27,1,82
copperhead,2.28,0,101
copy,4.77,1,50 107 138
copyright,4.24,1,109
coral,3.86,1,30 66 86 137 144 146 148 164 167 169
cord,3.98,1,111
core,4.73,1,180
corn,4.19,1,80 89 146 171 176
corn dog,4.19,1,180
cornea,2.93,1,51 143 175
cornflakes,2.47,0,113
correct,4.79,1,133
corrode,2.4,0,134
cortado,1.59,0,164
corvid,1.36,0,125
cosmic,3.78,1,177
costume,4.18,1,72 95
cot,3.21,1,194
cottage,4.0,1,31 184
cotton,4.35,1,28 48 55 181
cotton candy,4.29,1,142
cough,3.95,1,5 123 167 175
could,6.06,1,185
countdown,3.68,1,55 174
counter,4.56,1,148 153
counteroffer,1.88,0,185
country,5.48,1,54
coupe,3.34,1,37 48
couple,5.19,1,58
coupon,3.86,1,38
courage,4.32,1,195
courageous,3.59,1,155
courier,3.68,1,153 180
court,5.41,1,55 69 76 122 149
cousin,4.41,1,60 106
covalent,2.65,1,177
covid,3.86,1,151
cow,4.14,1,1
cowboy,3.85,1,67 142
cowboys,4.03,1,151
cowhide,2.15,0,155
cpu,3.72,1,30 135
crab,3.76,1,12 36 57 96 159
crack,4.41,1,199
crackers,3.45,1,122
crackle,2.78,1,162
cradle,3.5,1,18 134 194
cranberries,2.79,1,180
cranberry,3.17,1,14 37
crane,3.92,1,17 48
crankshaft,2.79,1,25 152
crashes,3.87,1,180
crater,3.55,1,33 47 58 82 87 101
crawl,3.77,1,60
crawling,3.59,1,68
crayon,3.05,1,7
crayons,3.01,1,141
cream,4.62,1,5 9 23 171
creation,4.56,1,95
credit,5.0,1,28 44
credit card,5.0,1,186
crepe,2.87,1,165
crescent,3.57,1,192
crest,3.65,1,151
cretaceous,3.22,1,98
crete,3.2,1,45
crew,4.7,1,69 71
crib,3.48,1,9 39 126 134 141
cricket,4.39,1,130
crime,4.89,1,65 125
criminals,4.15,1,41
crimson,3.6,1,126 135 141
crinkle,2.32,0,190
crispy,3.37,1,39
crixus,1.45,0,125
croatia,3.74,1,21
crocodile,3.49,1,8 32 79 103 113 135
croissant,2.78,1,8 130
crop,4.15,1,89
cross,5.0,1,140
crossbow,3.05,1,93 184
crossexam,0.0,0,187
crosswalk,2.63,1,140 192
crossword,3.14,1,52 102 125
crow,3.8,1,8 77
crowd,4.7,1,101 131 156
crowds,3.87,1,162 166
crown,4.56,1,47 57 114
crowned,3.65,1,142
crucifix,3.02,1,73
cruiser,3.52,1,171
crunch,3.66,1,199
crusades,3.07,1,99
crush,4.17,1,126
crust,3.7,1,48 180 195
cry,4.59,1,162
crypt,3.1,1,134
crypto,3.6,1,194
cryptocurrency,3.3,1,117
cube,3.82,1,6
cuckoo,3.14,1,167
cucumber,3.41,1,137 169
cuddle,3.4,1,162
cue,3.75,1,159
cuff,3.51,1,163
cumin,3.01,1,43 174
cuneiform,2.53,0,183
cup,5.11,1,84 171 176 182 185 191
cupcake,3.35,1,18 38 97 158
cupid,3.2,1,82 142 165
curator,3.55,1,23
curie,2.88,1,46
curious,4.45,1,35
curling,3.51,1,115 191
curls,3.42,1,125
curly,3.6,1,121 190
currency,4.37,1,30 44
current,5.27,1,47 199
curse,4.07,1,58 77 147
curtain,3.86,1,23 70 75 196
curve,4.14,1,191
cushaw,0.0,0,95
customs,4.19,1,39
cut,5.24,1,123 174
cutlass,2.59,1,124 144
cyber,3.98,1,119
cyborg,3.22,1,81
cyclone,3.51,1,8
cylinder,3.99,1,6 25 152
cyprus,3.71,1,41
cyrillic,2.63,1,165
czar,3.0,1,85
da vinci,3.29,1,193
dagger,3.54,1,124 130 143
dahlia,2.86,1,16
daintree,1.99,0,83
daiquiri,2.29,0,182
dairy,4.09,1,105 127 189
daisy,3.78,1,5 37 58 129 149
dallas,4.42,1,92
dalmatian,2.66,1,105 158
dam,4.17,1,59 103 119 170
dance,4.93,1,35 54 110 168
dancer,3.99,1,8 198
dances,3.79,1,85
dandelion,2.9,1,90
daniel,4.62,1,58
danish,3.91,1,154
dante,3.61,1,76
danube,3.14,1,32 52 109
daphne,3.26,1,166
daring,3.7,1,155
dark,5.04,1,144 161
darkness,4.3,1,37 40 52 141 160 166
darling,4.09,1,137
darts,3.41,1,13 157 159
dashes,2.87,1,188
dashi,2.04,0,184
date,5.22,1,127 199
daughter,5.07,1,104
david,5.13,1,50 96
davy crockett,3.09,1,197
dawn,4.27,1,37 53 184
day,5.95,1,7 10 55 199
days,5.61,1,12 175
dazzle,3.02,1,184
dead,5.19,1,77 160
deadline,4.12,1,55 88
deal,5.32,1,185
dealer,4.19,1,75
deals,4.59,1,162
dear,4.77,1,137 159
death,5.4,1,56 109 165
debit,3.62,1,28
debris,3.92,1,27
decade,4.52,1,71 176
decades,4.58,1,12
decagon,1.17,0,50
decimal,3.28,1,166
deck,4.41,1,148
declaration,4.1,1,150
decode,3.02,1,61
deduce,2.97,1,134
deep,5.05,1,179
deepfrost,0.0,0,79
deer,4.12,1,59 73 75 133 169
defeat,4.51,1,99
deglaze,1.77,0,156
delete,4.22,1,50 81 157
delight,3.97,1,158
deliver,4.55,1,109
delivery,4.59,1,83 158
delorean,2.64,1,106
delta,4.12,1,84 122 181
deluxe,3.72,1,186
demand,4.84,1,105
democracy,4.51,1,16 36 179
demon,4.06,1,117
den,4.01,1,129
denali,2.62,1,127
denial,3.99,1,113 148
denim,3.52,1,12
denmark,4.04,1,146
dense,3.98,1,196
dentin,2.22,0,138
dentist,3.86,1,16
denver,4.23,1,28 92
denzel washington,2.97,1,162
dependent,4.28,1,180
deposit,4.24,1,44 185
depression,4.56,1,184
derby,4.1,1,179
descriptive,3.54,1,110
desert,4.4,1,45 81 85 102 105 141 144 177 182 190
design,5.17,1,189
designer,4.42,1,110
desk,4.43,1,3 74 107 141
despise,3.5,1,150
dessert,3.83,1,4 18 62 94 158 176 184
desserts,3.31,1,14
detergent,3.2,1,15
detour,3.2,1,78
detroit,4.35,1,156
devonian,2.9,1,98
devotion,3.73,1,134
diabetes,4.17,1,94
diagnosis,4.2,1,132
diagonal,3.36,1,179
dial,3.93,1,180
diamond,4.42,1,10 30 105 108 123 132 174
diamonds,4.02,1,14 128
diaper,3.49,1,9 18 39 141 187
dickens,3.52,1,26 124 155 181
dictatorship,3.64,1,179
die,5.07,1,153
diesel,4.05,1,51 146 151
diet,4.57,1,20 75
dietitian,2.69,1,16
dig,4.22,1,140
digestion,3.31,1,24 55 134
digestive,3.46,1,19
digging,3.99,1,149
digital,4.83,1,96 176
dime,3.66,1,42
dimple,2.72,1,129
dingy,2.82,1,150
dinner,4.78,1,4 58 59 73 159
dinosaur,3.77,1,150
dinosaurs,3.72,1,42 176
dior,3.15,1,125
dip,4.05,1,132 182
dipper,2.83,1,146
director,5.15,1,87 122
dirt,4.24,1,132 183
dirt bike,4.24,1,27
dirty clothes,4.55,1,15
disc,4.13,1,189
disco,3.78,1,13 54
discount,4.35,1,187
discounts,3.79,1,162
disease,4.9,1,94
dishwasher,3.29,1,119
disk,4.01,1,79
dislike,3.89,1,55
dismount,2.61,1,125
displacement,3.63,1,113
dispute,4.27,1,181
distant,4.19,1,160
distress,3.95,1,174
distributor,3.66,1,192
division,4.86,1,64 110
divorced,4.04,1,165
dna,4.49,1,29 118
do,6.35,1,80
doc,4.36,1,106
dock,3.99,1,39
doctor,4.9,1,4 10 16 29 94 132 173
docx,1.76,0,150
dodo,2.88,1,42 150 176
dog,5.1,1,5 158 198
dogecoin,2.51,0,117
dojo,2.99,1,154
doll,4.06,1,3 98 139 196
dollar,4.59,1,42 67 125 148
dolphin,3.67,1,12 32 66 68 79 121 148
dome,3.9,1,154
domino,3.23,1,31 60
dominoes,2.83,1,157
don,4.6,1,125
don quixote,2.93,1,60
donate,4.04,1,81
donkey,3.62,1,102 123 144 171
donut,3.31,1,8 18 38 77 180
door,5.08,1,2 79 167
doorbell,3.05,1,167
dope,3.9,1,184
dorblu,0.0,0,51
dorm,3.58,1,77
dostoyevsky,2.46,0,124
dot,4.05,1,160
dots,3.76,1,188
double,5.01,1,170
double davy,3.18,1,181
dove,3.67,1,173
down,5.88,1,148 157
down payment,4.66,1,179
downfall,3.54,1,147
doze,2.64,1,143
dragon,4.41,1,22 52 70 109 129 134 196 198
dragonfly,3.03,1,124
dragonfruit,1.49,0,67 174
dragons,4.1,1,159
drain,4.07,1,197
drama,4.67,1,9 101 112
dramatic,4.41,1,177
draw,4.81,1,122 142 146 178
drawbridge,2.61,1,133
drawer,3.78,1,84
drawing,4.58,1,64 75 118
drawstring,2.63,1,198
dream,4.91,1,6
dreams,4.59,1,52 60 100 159
dreidel,1.89,0,149 181
dress,4.76,1,98 125 157
dresser,3.36,1,84 92 112 194
dressing,4.17,1,169
dribble,3.06,1,122
drill,4.09,1,121 165
drinks,4.43,1,94 191
driveway,3.65,1,137 161
driving,4.9,1,74
drizzle,3.15,1,132
drone,4.0,1,32 35 54 83 142
drowning,3.77,1,141
druid,2.99,1,187
drum,4.11,1,6 11 18
drummer,3.68,1,12
drums,3.93,1,101 138
dry,4.74,1,100
dryer,3.54,1,119 123
duck,4.21,1,79 194
duel,3.65,1,142
duffel,2.73,1,148
duke,4.45,1,134
dull,3.94,1,186
dumbbell,2.63,1,20 53
dumbledore,3.04,1,65
dumpling,2.67,1,156
dune,3.28,1,105 182 186 190
dunes,3.37,1,45 57
dungeon,3.57,1,57
dunk,3.54,1,11
dunning-kruger,2.69,0,164
duplex,3.13,1,85 184
durian,2.58,1,50 174
dusk,3.44,1,53 184
dust,4.41,1,175
dustbowl,1.67,0,196
duster,2.78,1,185 188
dustpan,1.9,0,153 199
dvd,4.25,1,133
dwarf crocodile,3.49,1,135
dwarves,3.14,1,138
dynamite,3.59,1,130 178
dynasty,3.87,1,88 195
e-book,5.05,0,86
eagle,4.13,1,8 32 51 77 81 130 137 142 145 190
ear,4.43,1,3 103 143
ear muffs,2.18,0,140
earbuds,3.06,1,137
earrings,3.62,1,111
ears,4.36,1,46 196
earth,5.06,1,13 20 25 49 73 140 150 173 180
earthquake,4.15,1,33 120
easel,2.68,1,26 49 193
east,5.16,1,1 24 121 139 197
easter,4.12,1,95
echo,4.04,1,40 51 137
echolocation,2.33,0,190
eclair,2.18,0,178
eclipse,3.81,1,40 87 122 141
economy,4.87,1,106 155
ecosystem,3.78,1,118
ed sheeran,3.08,1,180
edam,1.9,0,51
edison,3.57,1,135 153
edit,4.3,1,50 81
editor,4.62,1,124
editorial,4.11,1,44 185
education,5.28,1,75 177
egg,4.46,1,3 34 39 102 107 109 136 164
eggplant,3.01,1,14 37
eggs,4.5,1,20 56 66 95 98 154
eggs benedict,3.7,1,165
egypt,4.45,1,6 38 41 49 77 93
eiffel,3.23,1,114
eiffel tower,3.23,1,38 72 78 91 151
eight,5.02,1,4 182
einstein,3.74,1,46 173
el dorado,3.03,1,84 148
elation,2.7,1,158
elder,4.06,1,126
election,5.08,1,36
electric,4.72,1,11 151
electricity,4.43,1,119 199
electron,3.82,1,35 73
electronics,4.19,1,98
element,4.46,1,35 103
elephant,4.08,1,10 19 28 32 79 116 131
elevator,3.95,1,158 162 185
eleven,4.12,1,185
elf,3.65,1,129
elk,3.49,1,75 78 169 177
elves,3.4,1,73
elysium,2.68,1,126
email,4.68,1,82 150
ember,2.97,1,6
emblem,3.58,1,95
emerald,3.6,1,10 132
emily,4.14,1,20
emma,4.23,1,20 166
emotion,4.19,1,19 104
emotions,4.37,1,60
emperor,4.25,1,38 63 71 85 88 114 145 183
empire,4.54,1,88 89 100
emu,3.05,1,34 36 42
en garde,3.34,1,169
enamel,3.35,1,138
enchant,2.57,1,58
encode,2.95,1,61
encore,3.39,1,101 124 185
encouragement,3.79,1,167
encryption,3.56,1,44
encyclopedia,3.52,1,189
end,5.68,1,157
endorse,3.63,1,157 195
energy,5.23,1,52 90 129 190
engaged,4.52,1,165
engine,4.84,1,25 60 62 77 108 120 128 145 151 152 173 191
engineer,4.5,1,10 61 132 178 181
engineering,4.8,1,177
english,5.19,1,31
enigma,3.24,1,188
enjoy,5.09,1,133
enoki,1.68,0,37 115
ensign,3.27,1,149
enter,4.81,1,192
entry,4.67,1,19 38 175
envelope,3.86,1,44 82 134 150 168
environment,4.87,1,118
envy,3.84,1,55 144 157 163
enzyme,3.82,1,61
eon,2.7,1,145
epee,1.8,0,142
epic,4.35,1,135 140 161
epilogue,3.13,1,194
episode,4.97,1,160
epoch,3.19,1,145
equation,4.02,1,55 178
equations,3.77,1,196
equity,4.3,1,179
er,4.24,1,163
era,4.67,1,145 176
eraser,2.94,1,17 129
erie,3.57,1,144
erosion,3.64,1,105
error,4.55,1,181
errors,4.25,1,180
eruption,3.52,1,33 82
esagila temple,0.0,0,45
escalator,3.02,1,162
escrow,3.04,1,179
esophagus,2.91,1,55
espresso,3.39,1,5 31 38 61 88 123 132
essay,4.23,1,44 101
essence,4.03,1,156 189
estimate,4.29,1,184
etching,3.13,1,174
ethereum,3.21,1,117 194
eukaryote,1.8,0,195
euro,4.09,1,18 67 125 148 194
europe,5.04,1,7 172
evening,4.86,1,151
everest,3.43,1,6 127
everglades,2.93,1,33
everything,5.54,1,152
evidence,5.14,1,187
evolution,4.41,1,115
exam,4.26,1,186
excalibur,2.94,1,148
excavation,3.46,1,119
excavator,2.7,1,48
excelsa,1.67,0,42
exchange,4.85,1,25
excited,4.74,1,126
exclamation,3.09,1,147 170
exercise,4.68,1,75 108
exhale,3.11,1,19
exhibit,4.16,1,23
exile,3.84,1,145
expansion,4.54,1,95
expense,4.23,1,62
experience,5.27,1,100
experiment,4.38,1,198
expert,4.56,1,198
expire,3.54,1,187
expiry,3.0,1,148
exploitation,3.84,1,154
explosion,4.22,1,40 95 128
explosive,3.97,1,130
exposition,3.59,1,194
expository,2.5,0,110
expression,4.55,1,55
eye,5.02,1,3 103 143 175
eye contact,4.99,1,162
eyelet,2.17,0,8
eyeliner,3.16,1,15
eyepatch,2.08,0,124
eyes,5.21,1,6 25 46 51 63 111 196
f-150,3.72,0,87
fa,4.2,1,80
fable,3.16,1,135 140 179
fabric,4.08,1,155
facade,3.42,1,104
face,5.45,1,25 63 111 168 189
facebook,4.9,1,34
facial expressions,3.92,1,162
factory,4.55,1,57
failure,4.72,1,181
fairway,2.93,1,173
fairy,4.08,1,21 70 134 142
fake mustache,3.41,1,114
falafel,2.64,1,148
falchion,2.09,0,167
falcon,3.74,1,81 100 145
fall,5.13,1,46 76
fallout,3.69,1,147
fallover,0.0,0,147
famine,3.61,1,165
fan,4.92,1,142
fang,3.34,1,41 139
fangs,3.02,1,189
fantasy,4.52,1,35 129 159 183
faraway,2.99,1,160
farce,3.33,1,130
farm,4.75,1,22
farmer,4.15,1,4 10
fashion,4.82,1,78
fast,5.13,1,11
fast food,5.13,1,184
father,5.26,1,8 137 178
fatigue,3.86,1,175
faucet,3.07,1,197
fault,4.64,1,33 104
favor,4.58,1,133 157
favorite,4.97,1,55
fawn,3.02,1,75
fbi,4.43,1,159
fear,4.95,1,55 60 91
fearless,3.55,1,155
feather,3.69,1,95
feathers,3.79,1,9 74 107
federalism,2.98,1,199
fedora,3.06,1,115 133
feeble,3.21,1,174
feel,5.67,1,162
fees,4.53,1,173
feint,2.52,0,190
feldspar,2.45,0,66 104
femur,3.0,1,175
fen,2.83,1,172
fence,4.21,1,152 187
fender,3.4,1,148
fennel,2.96,1,189
fern,3.27,1,90
ferry,4.02,1,54 91 171
fertilizing,2.36,0,153
festival,4.72,1,73 83
feta,2.79,1,115
fetch,3.65,1,6
fettuccine,2.15,0,43
feudalism,2.78,1,118
fever,4.22,1,5 175
fiber,4.06,1,155
fibonacci,2.69,1,186
fibula,2.59,1,175
fiction,4.44,1,11
fief,2.4,0,193
field,5.24,1,31
fight,5.23,1,143
fighter jet,4.29,1,56
fighting,4.92,1,164
figure skating,3.84,1,42
figures,4.73,1,121
fiji,3.61,1,128
filet,2.8,1,154
filter,4.28,1,184
fin,3.7,1,47 191
finance,4.65,1,106 177
finch,3.55,1,125
finding nemo,3.17,1,165
finger,4.48,1,138
finger print,4.48,1,189
finish,4.91,1,55
finland,3.95,1,146
fiona,3.63,1,123
fire,5.3,1,25 29 49 52 70 122 134 150 198 199
fire breath,4.52,1,22
firearms,3.91,1,130
firecracker,2.69,1,40
firefly,3.13,1,158
fireplace,3.54,1,27 29 65 73
firestarter,2.04,0,175
firewall,3.24,1,44 56
firewood,3.16,1,27
fireworks,3.83,1,106
first-person,5.44,0,154 187
fish,4.9,1,5 30 32 48 57 66 69 79 86 135 158
fishermen,3.65,1,99
fishing,4.47,1,74 103 128
fission,3.11,1,59
five,5.45,1,4 20 71 85
flag,4.58,1,95
flame,4.07,1,6 49 70 150 186 199
flamenco,2.93,1,54 65 85 91 97 137
flamingo,3.06,1,36 137
flamma,1.26,0,125
flared,3.12,1,178
flash,4.45,1,87 107 161 191
flashback,3.47,1,60
flat,4.72,1,141
flat white,4.72,1,164
flavor,4.04,1,195
fleche,1.53,0,169
fleck,2.57,1,160
fleece,3.36,1,186
fleet,4.33,1,66
fletching,1.66,0,130
flint,3.77,1,127
flirt,3.52,1,199
float,3.94,1,83 145
floatplane,1.69,0,123
floats,3.46,1,164
flood,4.34,1,33 174
floppy,3.25,1,133
floppy disk,3.25,1,194
floral,3.77,1,155
florence,3.96,1,157
florida,4.76,1,12
flour,4.0,1,56 163 174
flow,4.68,1,47
flower,4.42,1,12 20 116 151
flowering,3.53,1,117
flowers,4.64,1,16 58 73 149
flu,3.96,1,5 94
flurries,2.36,0,164
flute,3.52,1,6 120 129 161
fly,4.75,1,5 25 77 180 181 184
flying,4.71,1,68 74
fm,4.02,1,62
focaccia,2.07,0,14
focus,5.0,1,46 87 190
foggy,3.19,1,22
foil,3.76,1,142
fold,4.08,1,111 123 139 174
folktale,2.16,0,179
font,3.8,1,160
food,5.4,1,55 147
food court,5.4,1,158
fool,4.29,1,56
force,5.23,1,89 129 190
forceps,2.63,1,129
ford,4.5,1,61 108 153
forecast,4.09,1,106
forest,4.7,1,105 141 182
fork,4.03,1,2 61 70 94 121
formal,4.45,1,39 109
formula,4.45,1,55 140
fortune,4.3,1,172
fossil,3.99,1,90 119 146
foundation,4.81,1,15 104 136
fountain,3.91,1,125 152
four,5.53,1,4 182
fox,4.66,1,59 75 78 133 190
foxglove,2.11,0,163 175
fraction,3.96,1,166
fracture,3.7,1,174
fragile,3.86,1,174
fragrance,3.53,1,95 111 162
frame,4.58,1,114
franc,3.11,1,18
france,4.94,1,16 72 91 99 145
freckle,2.36,0,129 150
freckles,3.0,1,88
fred,4.21,1,166
free throw,4.83,1,11
freedom,4.86,1,150
freefall,2.56,1,68
freestyle,3.8,1,42 164
freeze,4.11,1,138
freezer,3.66,1,79
freight,3.99,1,120
french,5.09,1,31
french revolution,4.56,1,75
frequency,4.36,1,69 124
fresco,3.09,1,150
fresh water,4.83,1,69
fret,3.27,1,72
freya,2.94,1,153
friday,4.96,1,1 161
fridge,4.02,1,112 119 161
fried,4.06,1,39 102
friend,5.37,1,104
friends,5.43,1,110
fries,3.81,1,32 45 131 136 184
frigate,3.09,1,103
frigid,2.98,1,169
frisbee,2.96,1,199
fritter,2.26,0,154
frizzy,2.6,1,121
frodo,2.9,1,53
frog,3.89,1,51 68 121 130
frontier,3.97,1,168
frost,3.95,1,125
frosting,3.05,1,180
froth,2.75,1,132
frother,1.59,0,184
frown,3.26,1,35 73 150
frozen,4.32,1,70
frozen yogurt,3.63,1,126
fruit,4.57,1,11 37 67 88 98
fruits,4.07,1,17 105 122
fry,3.89,1,27 36 132
fryer,2.99,1,185
frying,3.42,1,144
fuchsia,2.69,1,167
fudge,3.33,1,2 38 128
fuel,4.72,1,122 145
fuji,3.22,1,6
full,5.54,1,192
full-grain,4.16,0,155
fumet,0.0,0,184
fungi,3.48,1,113
fungus,3.53,1,195
funnel,3.47,1,19 27
funnel cake,3.47,1,180
furikake,1.3,0,175
furnace,3.62,1,57
furniture,4.29,1,87
furtive,2.49,0,180
fuselage,3.09,1,78
fusilli,1.69,0,169
fusion,4.02,1,114
futon,2.56,1,161
future,5.33,1,161
gable,3.08,1,169
gadget,3.45,1,125
galaxy,4.28,1,20 70 73 81 155
gale,3.62,1,119
galileo,3.2,1,46 173
galleon,2.57,1,103
gallery,4.49,1,23 26
galley,3.22,1,120
gallon,3.75,1,123 196
gallop,3.03,1,99 126 179
gambit,3.1,1,142
gambrel,1.81,0,169
game,5.72,1,60
games,5.44,1,159
gaming,4.36,1,103
gamma,3.7,1,122 139 199
gandalf,3.08,1,53
gandhi,3.83,1,93
gang,4.5,1,125
garage,4.25,1,14 112 161
garamond,1.85,0,153
garbage,4.18,1,192 194
garden,4.77,1,20 23
gardening,3.67,1,74 86 128 144 172
garlic,3.92,1,52 92 154 194
gas,5.01,1,23 80 90 114 193
gasoline,3.85,1,51 151
gate,4.47,1,57 94 175 193
gateway,3.83,1,129
gauntlets,2.28,0,143
gavel,2.66,1,41
gazette,3.61,1,179
gazpacho,2.19,0,76 96
gecko,2.91,1,8 79 101 113 135
geisha,2.78,1,48
gel,3.84,1,152 175
gemini,3.38,1,16 108 139 191
gemstone,2.98,1,30
gene,4.36,1,118 177 196
general,5.47,1,26
generator,3.94,1,59
genghis,2.84,1,145
genotype,2.87,1,29
genre,4.17,1,35
gentoo,2.37,0,71 183
geography,3.98,1,133
geologic,3.25,1,100
geometric,3.59,1,186
geometry,3.88,1,196
george,5.04,1,145
geothermal,3.18,1,90 119 197
geppetto,1.94,0,21
german,4.95,1,31
germany,4.9,1,72 91
germination,2.8,1,117
gestures,3.59,1,162
gettysburg,3.14,1,99
geyser,2.8,1,57
gharial,1.12,0,135
ghirardelli,1.77,0,165
ghost,4.42,1,72 95 117 142 169
ghosts,3.88,1,19
ghoul,2.89,1,163
giant,4.62,1,195
giant squid,3.44,1,45
gibbon,2.8,1,182
gibbous,1.87,0,192
gibson,3.9,1,148
gif,3.9,1,153
gift,4.78,1,73 106 133 145
gifts,4.38,1,97
giggle,3.35,1,194
ginger,3.93,1,43 167
giraffe,3.32,1,10 19 28 116 131
glacier,3.58,1,26 45 71 85 90 123 165 183
gladiator,3.19,1,38 154 193
glass,4.85,1,8 95 97 109 139 150 185
glasses,4.34,1,22 114 115 126 156
glaze,3.28,1,132 176 180
glee,3.49,1,158
glider,3.09,1,15 32 54 83 123
glitches,3.15,1,180
glitter,3.56,1,145 175
globe,4.28,1,142 161
glock,3.1,1,130
gloom,3.31,1,160
gloomy,3.39,1,148
glove,3.73,1,134 153
gloves,4.04,1,22 27 29 86 140 166 186
glucose,3.75,1,146
glue,3.8,1,170
gluon,2.16,0,110
glyph,2.7,1,160
goal,5.06,1,190
goals,4.95,1,62
goat,4.02,1,1 142
godfather,3.44,1,65 72
goggles,3.35,1,11 139 147 186
going to,5.94,1,143
gold,5.17,1,21 30 82 105 142 174 188
gold fish,4.9,1,190
golden,4.67,1,142
golden gate,4.47,1,33 153 185
goldenrod,2.23,0,171
goldfish,3.28,1,79 95
golf,4.56,1,13
gollum,2.7,1,53 65
goods,4.6,1,25 155 194
goofy,3.57,1,189
goose,3.84,1,79 194
gopher,2.87,1,129
gorge,3.4,1,59 128
gorilla,3.62,1,175
gouda,2.52,0,23 115 170 195
gown,3.75,1,39
gps,4.03,1,24 121
gpu,3.22,1,135
graduation,4.07,1,73 199
grain,4.18,1,154 160
grains,3.7,1,11 37 105 127 184
gram,3.76,1,7 24
grammar,4.17,1,78
grammy,3.73,1,183
gramophone,2.7,1,124 170
grand canyon,3.96,1,33
grandfather,4.24,1,167
grandstand,2.89,1,156
granite,3.86,1,80 127
granola,2.98,1,113
grant,4.67,1,197
grape,3.7,1,2 30 96
grass,4.38,1,12 34 116 151 194
grasshopper,3.03,1,68 89
grater,2.51,0,133
grave,4.31,1,134
gravel,3.7,1,132
graveyard,3.56,1,151
gravity,4.21,1,81 129 152 190
gray,4.45,1,22
great wall,5.04,1,38 78 88 121
great white,5.51,1,34
greaves,2.8,1,143
greece,4.28,1,16 99 137
greed,3.73,1,144 163
greek,4.5,1,23 88 158 175
green,5.13,1,1 10 12 61 173
greenhouse,3.78,1,151
gregorian,2.74,1,87 176
grenade,3.65,1,130 178
griffin,3.9,1,52 70 109 163
grill,3.84,1,27 36 48 185
grilling,3.14,1,144
grimace,2.61,1,150
grind,3.94,1,126 148 191
grinder,3.32,1,161 184
grip,4.11,1,193
grizzly,3.28,1,90
grocery,4.06,1,98
groom,3.63,1,50 121
ground,5.15,1,112 152
groundhog,2.9,1,129
growth,5.03,1,109 117
grub,3.12,1,129
grubby,2.78,1,193
gruyere,2.06,0,170
guacamole,2.91,1,187
guardrail,2.45,0,140
guava,2.61,1,22 37
gucci,3.33,1,74 83 125
guernica,2.19,0,179
guide,4.75,1,78
guilt,4.13,1,157
guinea pig,4.06,1,95
guitar,4.48,1,6 11 12 18 72 101 138 164 168
gum,3.94,1,27 138
gumbo,2.7,1,153
gums,3.21,1,179
gun,4.96,1,33
guppy,2.49,0,190
gust,3.1,1,168
gutter,3.38,1,142 159
gym,4.43,1,20 53
gymnastics,3.6,1,42 164
gyoza,1.92,0,180
gyroscope,2.55,1,149 196
habanero,2.37,0,105
habitat,3.98,1,118
hacker,3.67,1,41
hacksaw,2.54,0,165
haiku,3.08,1,188
hailstorm,2.31,0,27
hair,5.08,1,63 168
haircare,2.15,0,15
hairstyle,3.33,1,125 136
halloween,4.16,1,72 83 95
halo,3.75,1,172 181
halo effect,3.75,1,164
halt,3.93,1,138
ham,4.12,1,10 115
hamlet,3.65,1,60
hammam,2.56,1,26
hammer,4.16,1,29 45 80 137 149
hammerhead,2.68,1,34
hammock,3.14,1,175 194
hamstrings,2.61,1,139
hanbok,1.94,0,132
hand,5.41,1,3 111 138
hand saw,5.34,1,165
handball,3.11,1,164
handle,4.79,1,53 149 167
handlebar,2.53,0,65 140 143
handlebars,2.73,1,111
handler,3.5,1,184
hands,5.16,1,196
hanging gardens,4.27,1,45
hangman,2.68,1,169
hansel,2.7,1,195
happy,5.35,1,10 126
har gow,2.69,1,156
harbor,4.15,1,39
hard,5.53,1,161
hard drive,5.13,1,117
hard hat,4.53,1,22
hardware,4.3,1,30
hare,3.66,1,33
harmony,4.11,1,28 88 89
harness,3.67,1,68 100
harp,3.4,1,164
harpercollins,2.74,1,124
harpy,2.5,0,142
harvard,4.24,1,149 162
harvesting,3.53,1,153
hashtag,3.67,1,55 135
hat,4.53,1,3 4 104 129 166 171 197
hatch,3.82,1,34 107
hatching,3.06,1,115
hatchling,2.17,0,154
hate,5.11,1,55
hats,4.01,1,53 115 133
hawaii,4.21,1,18 41
hawaiian,3.68,1,32
hawk,3.81,1,81 145
hawking,3.24,1,46 173
haystack,2.81,1,187
haze,3.42,1,61
hazel,3.54,1,22
hazelnut,2.78,1,17 23
head,5.51,1,168
headlights,3.33,1,77
headline,4.03,1,158
headphones,3.88,1,137
headrest,2.36,0,174
hearing,4.82,1,46
heart,5.31,1,8 25 55 111 133 136 153 157 158 173 195
heart rate,5.14,1,139
hearts,4.44,1,14 82 128
heat,4.86,1,47 49 57 70 78 150 199
heater,3.55,1,27
heavyweight,3.62,1,151
hebrew,3.91,1,165 176
hedge,3.74,1,152
hedgehog,3.25,1,50 199
heel,3.84,1,4 8
heels,4.06,1,39 88 125 129
height,4.53,1,44
heights,4.14,1,141 166
helen,4.19,1,99
helicopter,4.13,1,15 32 54
helium,3.42,1,21 80 83 145
helix,3.26,1,177
helmet,4.02,1,29 47 108 133 134 139 143 153 186 188 197
help,5.75,1,174
helvetica,2.44,0,153 180
hemingway,3.3,1,181
